Vatten_ID,EU_CD,AdmUnit,WaterCategory,Region,Type,WB_name,RiverCatchmentSize,RiverSlope,LakeDepthCategory,LakeAlkalinity,LakeHumus,CoastDepthCategory,CoastStratification,CoastSalinity,CoastExposure,CoastResidenceTime,CoastSediment,CoastIceCover,LakeAltitude,AreaAgriculturePct,TPagricultureRefCond,Nutrient_loading,Organic_loading,Acidification,Harmful_substances,Hydrological_changes,Morphological_changes
WA10343395,SE749607-179945,Bottenviken,RW,Norra Sverige <200 m,2LM,Ainettijoki,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA10349621,SE746982-155924,Bottenviken,RW,Norra Sverige 200-800 m,3LB,Rissåjåkkå,<100 km2,>2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA10350574,SE676283-151495,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,Timsån,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,Yes,Yes
WA10355693,SE756528-162865,Bottenviken,RW,Norra Sverige 200-800 m,3LB,WA10355693,<100 km2,>2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,No
WA10357088,SE710524-145821,Bottenhavet,RW,Norra Sverige 200-800 m,3LB,Grundvattsån,<100 km2,>2 %,,,,,,,,,,,,0,0,No,No,Yes,Yes,No,No
WA10358524,SE708938-165378,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,Lill-Bjurvattsbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0.027,38,No,No,Yes,Yes,No,Yes
WA10364650,SE705075-162577,Bottenhavet,RW,Norra Sverige <200 m,2LM,WA10364650,<100 km2,0.1-2 %,,,,,,,,,,,,1.29,92,No,No,No,Yes,No,Yes
WA10366671,SE707183-162255,Bottenhavet,RW,Norra Sverige 200-800 m,3LB,WA10366671,<100 km2,>2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,Yes
WA10371274,SE669956-156563,Bottenhavet,RW,Norra Sverige <200 m,2LM,WA10371274,<100 km2,0.1-2 %,,,,,,,,,,,,15.7,64,Yes,No,No,Yes,Yes,Yes
WA10378595,SE711139-152972,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,Rensjöån,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,No,Yes,No,Yes
WA10378924,SE676548-152051,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,Panerabäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,No,No,Yes,Yes,No,Yes
WA10394387,SE698916-141992,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,Lillån & Kobergsån,<100 km2,0.1-2 %,,,,,,,,,,,,7.47,0,No,No,No,Yes,No,Yes
WA10399443,SE633618-153971,Södra Östersjön,RW,Södra Sverige,1LM,Emmekalvebäcken,<100 km2,0.1-2 %,,,,,,,,,,,,0,0,Yes,No,No,Yes,Yes,Yes
WA10410879,SE706303-404909,Bottenhavet,RW,Norra Sverige 200-800 m,3LM,WA10410879,<100 km2,0.1-2 %,,,,,,,,,,,,0.01,204,No,No,No,Yes,No,Yes
WA10411696,SE733269-185542,Bottenviken,RW,Norra Sverige <200 m,2LM,Sattaoja,<100 km2,0.1-2 %,,,,,,,,,,,,0.048,53,No,No,No,Yes,No,Yes
WA10412617,SE732243-180487,Bottenviken,RW,Norra Sverige <200 m,2MF,Vitån,100-1000 km2,<0.1 %,,,,,,,,,,,,1.33,79,Yes,No,No,Yes,No,No
WA10413554,SE684688-150194,Bottenhavet,RW,Norra Sverige <200 m,2LF,Stocksboån,<100 km2,<0.1 %,,,,,,,,,,,,0.417,102,No,No,No,Yes,Yes,Yes
WA10447721,SE652051-325079,Västerhavet,RW,Södra Sverige,1LM,Bäck från Madsjön,<100 km2,0.1-2 %,,,,,,,,,,,,1.83,50,No,No,Yes,Yes,Yes,Yes
WA10451028,SE670314-157839,Bottenhavet,RW,Norra Sverige <200 m,2LF,Dalälven Bredforsen,<100 km2,<0.1 %,,,,,,,,,,,,10.4,46,No,No,No,Yes,Yes,Yes
WA10458278,SE675364-145110,Bottenhavet,RW,Norra Sverige <200 m,2LM,Myrbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,6.67,25,No,No,No,Yes,Yes,Yes
WA10466718,SE720984-173258,Bottenviken,RW,Norra Sverige <200 m,2LM,Vidmyrbäcken,<100 km2,0.1-2 %,,,,,,,,,,,,3.38,52,No,No,No,Yes,Yes,Yes
