Vatten_ID,EU_CD,County,County_no
WA87524557,SE680229-133743,Dalarna,20
WA87524557,SE680229-133743,Hedmark,N4
WA87529329,SE632696-468551,Kronoberg,07
WA87541520,SE649265-150736,Östergötland,05
WA87552372,SE723266-174329,Västerbotten,24
WA87561241,SE718086-175338,Västerbotten,24
WA87584327,SE742859-183070,Norrbotten,25
WA87595500,SE635524-164872,Gotland,09
WA87596424,SE737590-170939,Norrbotten,25
WA87597422,SE661236-142056,Värmland,17
WA87617464,SE697516-134867,Jämtland,23
WA87620707,SE729131-151683,Västerbotten,24
WA87622053,SE660884-165506,Stockholm,01
WA87626718,SE616782-139689,Skåne,12
WA87630471,SE686900-152714,Gävleborg,21
WA87638347,SE641522-128081,Västra Götaland,14
WA87638522,SE687134-136847,Jämtland,23
WA87639518,SE702359-140088,Jämtland,23
WA87643104,SE698735-161028,Västernorrland,22
WA87646909,SE702544-152045,Västernorrland,22
WA87649460,SE660509-407394,Värmland,17
WA87653973,SE673289-557092,Dalarna,20
WA87655463,SE642359-143717,Jönköping,06
WA87658057,SE634664-150769,Kalmar,08
WA87670639,SE733348-173650,Norrbotten,25
WA87671234,SE706035-134861,Jämtland,23
WA87675994,SE733102-169156,Norrbotten,25
WA87689950,SE665753-133868,Värmland,17
WA87702177,SE734874-174449,Norrbotten,25
WA87702381,SE684144-526470,Gävleborg,21
WA87709816,SE721351-158989,Västerbotten,24
WA87710271,SE731647-168576,Norrbotten,25
WA87711132,SE690944-146198,Västernorrland,22
WA87715570,SE690353-138156,Jämtland,23
WA87719053,SE625442-141314,Skåne,12
WA87719053,SE625442-141314,Kronoberg,07
WA87732531,SE739070-712004,Norrbotten,25
WA87740971,SE702300-162477,Västernorrland,22
WA87750795,SE741206-176519,Norrbotten,25
WA87763655,SE747626-170282,Norrbotten,25
WA87764512,SE740441-558361,Norrbotten,25
WA87776428,SE733395-187819,Norrbotten,25
WA87783654,SE754073-174741,Norrbotten,25
WA87784936,SE715602-145469,Jämtland,23
WA87788731,SE725409-143816,Nordland,N18
WA87788731,SE725409-143816,Västerbotten,24
WA87791011,SE702511-159782,Västernorrland,22
WA87791468,SE750021-718956,Norrbotten,25
WA87800197,SE688098-438578,Jämtland,23
WA87811457,SE732985-146375,Västerbotten,24
WA87813264,SE678145-601514,Gävleborg,21
WA87814460,SE743646-174918,Norrbotten,25
WA87815906,SE677825-151877,Gävleborg,21
WA87828755,SE718366-168541,Västerbotten,24
WA87829497,SE628117-144181,Kronoberg,07
WA87840524,SE709195-383998,Jämtland,23
WA87841143,SE708068-548033,Jämtland,23
WA87842684,SE702231-164077,Västernorrland,22
WA87844781,SE656916-129140,Västra Götaland,14
WA87846307,SE740680-169284,Norrbotten,25
WA87849875,SE733344-165228,Norrbotten,25
WA87850721,SE686714-143900,Jämtland,23
WA87855766,SE732663-178179,Norrbotten,25
WA87860249,SE730371-159197,Norrbotten,25
WA87865861,SE759679-172503,Norrbotten,25
WA87870345,SE639034-154646,Kalmar,08
WA87874941,SE654010-130355,Västra Götaland,14
WA87881386,SE725785-146252,Västerbotten,24
WA87881486,SE734457-155635,Norrbotten,25
WA87886321,SE728184-174655,Norrbotten,25
WA87886615,SE762405-173684,Norrbotten,25
WA87894291,SE701612-162068,Västernorrland,22
WA87897605,SE712882-143698,Jämtland,23
WA87902784,SE716549-142757,Jämtland,23
WA87904141,SE704491-135985,Jämtland,23
WA87906355,SE625851-136445,Kronoberg,07
WA87928335,SE626889-134342,Halland,13
WA87932193,SE631579-131107,Halland,13
WA87934711,SE744456-169303,Norrbotten,25
WA87934757,SE680494-152666,Gävleborg,21
WA87937269,SE696366-131615,Jämtland,23
WA87939381,SE682556-154738,Gävleborg,21
WA87940665,SE681886-153143,Gävleborg,21
WA87954631,SE701845-163381,Västernorrland,22
WA87959100,SE674668-373755,Värmland,17
WA87968084,SE647307-129768,Västra Götaland,14
WA87971586,SE730632-179201,Norrbotten,25
WA87975478,SE646591-134690,Västra Götaland,14
WA87979727,SE688915-158512,Gävleborg,21
WA87989613,SE697626-134545,Jämtland,23
WA87990390,SE722675-173052,Västerbotten,24
WA87990815,SE640159-127709,Västra Götaland,14
WA87993231,SE706487-139806,Jämtland,23
WA87995654,SE163-27-R,Norrbotten,25
WA88000634,SE729494-168006,Norrbotten,25
WA88008634,SE638930-133371,Västra Götaland,14
WA88009139,SE735943-175609,Norrbotten,25
WA88009921,SE673062-152775,Dalarna,20
WA88009921,SE673062-152775,Gävleborg,21
WA88016103,SE714673-163605,Västerbotten,24
WA88019656,SE706956-164811,Västernorrland,22
WA88023411,SE715817-146986,Jämtland,23
WA88023932,SE711808-161034,Västerbotten,24
WA88030146,SE733256-150745,Västerbotten,24
WA88044706,SE683594-145497,Gävleborg,21
WA88046826,SE732891-186433,Norrbotten,25
WA88051519,SE654934-155162,Södermanland,04
WA88055929,SE712997-142295,Jämtland,23
WA88056284,SE758615-169880,Norrbotten,25
WA88066206,SE716104-142761,Jämtland,23
WA88069896,SE737107-159596,Norrbotten,25
WA88072322,SE713092-170529,Västerbotten,24
WA88073741,SE729887-146498,Västerbotten,24
WA88081477,SE681317-157290,Gävleborg,21
WA88083608,SE678066-150779,Gävleborg,21
WA88087359,SE714042-630853,Västerbotten,24
WA88091976,SE668313-137912,Värmland,17
WA88095168,SE654692-124138,Västra Götaland,14
WA88099868,SE673885-157929,Gävleborg,21
