Vatten_ID,EU_CD,Station,Obspoint_ID,Longitude,Latitude,Date,Time,Institution,Depth,TrophicMacrophyteIndex
,,"Motala ström, Motala vattenverk","Motala ström, Motala vattenverk",,,2016-08-23,,SLU,,7.777
WA96064999,SE657854-162243,Mälaren-Fiskarfjärden,Mälaren-Fiskarfjärden,,,2014-07-30,,SLU,,6.329
WA42021115,SE658018-162861,Mälaren-Riddarfjärden,Mälaren-Riddarfjärden,,,2014-07-31,,SLU,,6.25
WA42470715,SE658218-162455,Mälaren-Ulvsundasjön,Mälaren-Ulvsundasjön,,,2014-07-31,,SLU,,5.701
WA51082544,SE657838-162713,Mälaren-Årstaviken,Mälaren-Årstaviken,,,2014-09-04,,SLU,,5.926
WA18672828,SE658285-162009,Kyrksjön,Kyrksjön,,,2014-07-30,,SLU,,5.795
WA25215341,SE657388-162331,Långsjön,Långsjön,,,2014-09-09,,SLU,,7.115
WA69010885,SE657883-162595,Trekanten,Trekanten,,,2014-09-08,,SLU,,5.915
,SE649880-146829,Stråken,Stråken,,,2016-08-23,,SLU,,7.87
,,Mellansjön,Mellansjön,,,2016-09-07,,SLU,,6.541
,SE654473-156986,Båven Hornafjärden,Båven Hornafjärden,,,2016-08-10,,SLU,,7.21
,SE654834-156841,Inbåven,Inbåven,,,2016-08-11,,SLU,,6.73
WA21583787,SE641013-133156,"Öresjö, Djupaste punkten","Öresjö, Djupaste punkten",,,2016-07-05,,SLU,,7.62
WA61805719,SE657869-139320,Hagelviken,Hagelviken,,,2016-08-18,,SLU,,6.256
WA28130193,SE647969-137385,Eggbysjön,Eggbysjön,,,2015-06-23,,SLU,,5.984
WA32464039,SE638498-135731,Grytteredssjön,Grytteredssjön,,,2016-07-04,,SLU,,7.184
WA83730318,SE645629-126199,Kollungeröd Vatten,Kollungeröd Vatten,,,2015-08-06,,SLU,,6.356
WA37274413,SE653367-131292,Furusjön,Furusjön,,,2016-07-07,,SLU,,7.637
WA27482061,SE654424-162018,Muskan,Muskan,,,2013-07-31,,SLU,,6.574
WA56088326,SE646432-151960,Borken,Borken,,,2018-08-16,,SLU,,7.281
WA53727092,SE658027-134987,Åsfjorden,Åsfjorden,,,2018-06-27,,SLU,,6.279
WA56806681,SE615316-134523,Havgårdssjön,Havgårdssjön,,,2017-07-14,,SLU,,4.733
WA56806681,SE615316-134523,Havgårdssjön,Havgårdssjön,,,2018-08-14,,SLU,,5.237
WA35245623,SE199072-441895,Älgarydssjön,Älgarydssjön,,,2017-07-12,,SLU,,8.15
WA75378340,SE205962-508720,Stora Skogssjön,Stora Skogssjön,,,2013-07-30,,SLU,,7.386
WA51825248,SE660892-165434,Viren (Loån),Viren (Loån),,,2013-08-29,,SLU,,7.043
,,Sakajärvi,Sakajärvi,,,2017-08-29,,SLU,,7.946
WA74952283,SE660935-164669,Hersen,Hersen,,,2018-09-05,,SLU,,6.496
WA53622142,SE646674-129906,"Hullsjön, centralt","Hullsjön, centralt",,,2016-07-11,,SLU,,6.123
WA77080578,SE657933-138298,Arnön,Arnön,,,2016-08-24,,SLU,,8.143
WA49493602,SE653155-135018,Eskilsäters skärgård,Eskilsäters skärgård,,,2016-08-25,,SLU,,7.287
WA49493602,SE654374-134209,Millesvik,Millesvik,,,2016-08-25,,SLU,,7.447
WA92968406,SE642801-130350,Nolhagaviken,Nolhagaviken,,,2016-07-06,,SLU,,7.747
WA28986518,SE650646-152150,Nedre Glottern,Nedre Glottern,,,2018-08-15,,SLU,,7.545
WA45159991,SE644900-136200,Sjötorpasjön,Sjötorpasjön,,,2015-08-12,,SLU,,4.526
WA66948532,SE641734-130806,St Nären utlopp,St Nären utlopp,,,2015-08-15,,SLU,,8.246
,,Hammarsundet,Hammarsundet,,,2015-07-06,,SLU,,6.643
WA49493602,SE649996-133634,Hindens rev norra,Hindens rev norra,,,2015-06-24,,SLU,,7.992
,,Härjevadsdammen,Härjevadsdammen,,,2015-07-04,,SLU,,4.65
,,Kråksviken,Kråksviken,,,2015-07-03,,SLU,,7.56
,,Lilla Röknen,Lilla Röknen,,,2015-08-13,,SLU,,7.34
,,Norrviken,Norrviken,,,2015-06-28,,SLU,,7.667
,,Stora Röknen,Stora Röknen,,,2015-08-13,,SLU,,7.456
WA77080578,SE656189-139830,Svickstaviken,Svickstaviken,,,2015-07-08,,SLU,,7.772
WA49493602,SE651120-134699,Ekens skärgård,Ekens skärgård,,,2018-06-25,,SLU,,7.314
WA49493602,SE648932-133047,Hindens rev södra,Hindens rev södra,,,2018-06-28,,SLU,,7.202
,SE659816-160425,Broviken norra,Broviken norra,,,2018-08-28,,SLU,,6.151
,SE659702-160559,Broviken södra,Broviken södra,,,2018-08-29,,SLU,,5.78
WA84246238,SE206048-499793,Yngern,Yngern,,,2013-09-03,,SLU,,7.39
WA55862375,SE660879-161257,Mälaren-Skarven,Mälaren-Skarven,,,2013-08-30,,SLU,,5.445
