Vatten_ID,EU_CD,Municipality,Municipality_no
WA48437126,SE677727-135596,Malung-Sälen,2023
WA48441408,SE684996-155066,Hudiksvall,2184
WA48442154,SE733268-185018,Kalix,2514
WA48442474,SE625623-138003,Hässleholm,1293
WA48442474,SE625623-138003,Osby,1273
WA48442474,SE625623-138003,Älmhult,0765
WA48448871,SE311-95-R,Malung-Sälen,2023
WA48448871,SE311-95-R,Trysil,N428
WA48449153,SE682398-524091,Ovanåker,2121
WA48457925,SE719802-146240,Dorotea,2425
WA48466176,SE662907-129647,Eda,1730
WA48469076,SE740477-182551,Övertorneå,2518
WA48470397,SE708400-737197,Umeå,2480
WA48474597,SE661301-129128,Årjäng,1765
WA48479002,SE728668-178032,Luleå,2580
WA48480889,SE654665-157895,Gnesta,0461
WA48485650,SE626086-145645,Tingsryd,0763
WA48492011,SE635938-397597,Tranemo,1452
WA48512466,SE717305-143279,Strömsund,2313
WA48515604,SE751441-162091,Gällivare,2523
WA48518771,SE706441-152686,Sollefteå,2283
WA48518771,SE706441-152686,Strömsund,2313
WA48519519,SE645793-127298,Uddevalla,1485
WA48524828,SE736878-154592,Arjeplog,2506
WA48527612,SE704376-138804,Krokom,2309
WA48538201,SE648385-152899,Söderköping,0582
WA48538517,SE725094-171932,Piteå,2581
WA48552105,SE722700-143421,Vilhelmina,2462
WA48573116,SE641068-143625,Aneby,0604
WA48573116,SE641068-143625,Jönköping,0680
WA48573116,SE641068-143625,Nässjö,0682
WA48573762,SE620163-135221,Eslöv,1285
WA48573762,SE620163-135221,Höör,1267
WA48578027,SE750358-179241,Pajala,2521
WA48589100,SE695080-145646,Bräcke,2305
WA48590261,SE686806-136401,Älvdalen,2039
WA48590389,SE746227-174796,Gällivare,2523
WA48594940,SE705152-166823,Örnsköldsvik,2284
WA48613217,SE637112-128121,Kungsbacka,1384
WA48622944,SE725134-151930,Storuman,2421
WA48625872,SE675420-156682,Gävle,2180
WA48627226,SE668433-520559,Smedjebacken,2061
WA48627226,SE668433-520559,Säter,2082
WA48638578,SE672926-157597,Gävle,2180
WA48644312,SE629290-133230,Halmstad,1380
WA48652466,SE701718-148222,Ragunda,2303
WA48652466,SE701718-148222,Östersund,2380
WA48652469,SE734442-160476,Arjeplog,2506
WA48656072,SE689652-151187,Ljusdal,2161
WA48671600,SE702306-132880,Åre,2321
WA48675922,SE645274-143707,Tranås,0687
WA48675922,SE645274-143707,Ödeshög,0509
WA48678248,SE735459-184415,Övertorneå,2518
WA48696547,SE649750-145378,Motala,0583
WA48701749,SE688957-131680,Engerdal,N434
WA48701749,SE688957-131680,Älvdalen,2039
WA48704859,SE716492-658630,Lycksele,2481
WA48709958,SE676926-156952,Gävle,2180
WA48715261,SE654512-161517,Nynäshamn,0192
WA48715423,SE706661-166565,Nordmaling,2401
WA48728761,SE669102-150390,Hedemora,2083
WA48731614,SE665742-140531,Filipstad,1782
WA48735194,SE716621-169387,Skellefteå,2482
WA48746311,SE697632-157435,Härnösand,2280
WA48749333,SE728141-176458,Luleå,2580
WA48749333,SE728141-176458,Piteå,2581
WA48761666,SE708400-165844,Bjurholm,2403
WA48761666,SE708400-165844,Nordmaling,2401
WA48765768,SE699832-422685,Åre,2321
WA48769102,SE662647-164821,Norrtälje,0188
WA48773041,SE737404-160004,Arjeplog,2506
WA48781844,SE653355-153909,Flen,0482
WA48781844,SE653355-153909,Katrineholm,0483
WA48782730,SE720595-170484,Norsjö,2417
WA48782730,SE720595-170484,Skellefteå,2482
WA48791767,SE732919-176082,Boden,2582
WA48799876,SE703272-159414,Örnsköldsvik,2284
WA48801627,SE678929-154012,Bollnäs,2183
WA48810724,SE712141-143264,Krokom,2309
WA48810932,SE737669-169387,Jokkmokk,2510
WA48817230,SE665342-131044,Eda,1730
WA48817514,SE710395-159798,Åsele,2463
WA48830445,SE670840-138022,Malung-Sälen,2023
WA48833703,SE670026-147022,Borlänge,2081
WA48836460,SE656587-620486,Strängnäs,0486
WA48844162,SE658436-136820,Hammarö,1761
WA48844162,SE658436-136820,Karlstad,1780
WA48844205,SE725921-575322,Storuman,2421
WA48845818,SE741419-182350,Pajala,2521
WA48845818,SE741419-182350,Övertorneå,2518
WA48853840,SE707236-136210,Åre,2321
WA48856658,SE709738-171544,Umeå,2480
WA48867144,SE731896-179133,Luleå,2580
WA48873434,SE653129-130587,Mellerud,1461
WA48873434,SE653129-130587,Åmål,1492
WA48873897,SE619839-140301,Kristianstad,1290
WA48875746,SE696170-153051,Bräcke,2305
WA48875746,SE696170-153051,Sundsvall,2281
WA48884154,SE738944-184791,Övertorneå,2518
WA48894650,SE708826-148914,Strömsund,2313
WA48903929,SE707294-134356,Åre,2321
WA48905399,SE717751-159386,Lycksele,2481
WA48905803,SE716338-167618,Vindeln,2404
WA48906235,SE704325-144807,Östersund,2380
WA48906941,SE694976-152554,Ånge,2260
WA48910576,SE697310-135523,Berg,2326
