Vatten_ID,EU_CD,Station,Obspoint_ID,Longitude,Latitude,Date,Time,Institution,Depth,BenthicInvertebratesASPT,BenthicInvertebratesDJ,BenthicInvertebratesMISA
WA43483826,SE675032-135400,Lill-Fämtan,Lill-Fämtan,,,2010-10-26,,SLU,0.5,6.538,15,1.244
WA43483826,SE675032-135400,Lill-Fämtan,Lill-Fämtan,,,2011-10-26,,SLU,,6.583,15,4.16
WA43483826,SE675032-135400,Lill-Fämtan,Lill-Fämtan,,,2012-10-15,,SLU,,7,15,0.007
WA43483826,SE675032-135400,Lill-Fämtan,Lill-Fämtan,,,2013-10-23,,SLU,,6.846,14,1.498
WA43483826,SE675032-135400,Lill-Fämtan,Lill-Fämtan,,,2014-10-07,,SLU,,6.143,13,11.076
WA43483826,SE675032-135400,Lill-Fämtan,Lill-Fämtan,,,2015-10-20,,SLU,,6.833,14,2.42
WA43483826,SE675032-135400,Lill-Fämtan,Lill-Fämtan,,,2016-10-18,,SLU,0.35,6.417,14,8.773
WA43483826,SE675032-135400,Lill-Fämtan,Lill-Fämtan,,,2017-10-04,,SLU,0.25,6.167,13,0.036
WA27120760,SE713297-169256,"Svartberget, C7","Svartberget, C7",,,2007-10-07,,SLU,0.5,6.091,12,0
WA27120760,SE713297-169256,"Svartberget, C7","Svartberget, C7",,,2008-09-26,,SLU,0.5,5.7,12,2.789
WA27120760,SE713297-169256,"Svartberget, C7","Svartberget, C7",,,2009-10-05,,SLU,0.5,6.1,12,0
WA27120760,SE713297-169256,"Svartberget, C7","Svartberget, C7",,,2010-09-29,,SLU,0.5,5.615,12,0.024
WA27120760,SE713297-169256,"Svartberget, C7","Svartberget, C7",,,2011-10-11,,SLU,,6.688,14,12.051
WA27120760,SE713297-169256,"Svartberget, C7","Svartberget, C7",,,2012-10-17,,SLU,,6.412,14,1.391
WA27120760,SE713297-169256,"Svartberget, C7","Svartberget, C7",,,2013-10-16,,SLU,,6.25,13,4.978
WA27120760,SE713297-169256,"Svartberget, C7","Svartberget, C7",,,2014-10-17,,SLU,,5.4,12,0
WA27120760,SE713297-169256,"Svartberget, C7","Svartberget, C7",,,2015-09-28,,SLU,,5.5,12,0.052
WA27120760,SE713297-169256,"Svartberget, C7","Svartberget, C7",,,2016-10-10,,SLU,0.1,6.455,13,2.783
WA27120760,SE713297-169256,"Svartberget, C7","Svartberget, C7",,,2017-10-02,,SLU,0.1,6.167,12,0
WA15165797,SE690530-152405,Stormyrbäcken,Stormyrbäcken,,,2007-10-15,,SLU,0.5,6.476,14,33.757
WA15165797,SE690530-152405,Stormyrbäcken,Stormyrbäcken,,,2008-10-11,,SLU,0.5,6.211,13,24.638
WA15165797,SE690530-152405,Stormyrbäcken,Stormyrbäcken,,,2009-10-15,,SLU,0.5,6.421,14,17.428
WA15165797,SE690530-152405,Stormyrbäcken,Stormyrbäcken,,,2010-10-13,,SLU,0.5,6.211,13,22.319
WA15165797,SE690530-152405,Stormyrbäcken,Stormyrbäcken,,,2011-10-18,,SLU,,6.333,14,33.501
WA15165797,SE690530-152405,Stormyrbäcken,Stormyrbäcken,,,2012-10-15,,SLU,,6.111,13,22.165
WA15165797,SE690530-152405,Stormyrbäcken,Stormyrbäcken,,,2013-10-16,,SLU,,5.722,13,22.334
WA15165797,SE690530-152405,Stormyrbäcken,Stormyrbäcken,,,2014-10-13,,SLU,,5.8,13,36.21
WA15165797,SE690530-152405,Stormyrbäcken,Stormyrbäcken,,,2015-10-14,,SLU,0.35,5.958,13,37.7
WA15165797,SE690530-152405,Stormyrbäcken,Stormyrbäcken,,,2016-10-19,,SLU,0.4,5.588,11,37.917
WA15165797,SE690530-152405,Stormyrbäcken,Stormyrbäcken,,,2017-10-17,,SLU,0.44,5.933,12,29.911
WA36456490,SE633316-146198,Norrhultsbäcken,Norrhultsbäcken,,,2003-10-22,,SLU,0.5,6.476,13,30.336
WA36456490,SE633316-146198,Norrhultsbäcken,Norrhultsbäcken,,,2004-10-07,,SLU,0.5,6.261,13,13.511
WA36456490,SE633316-146198,Norrhultsbäcken,Norrhultsbäcken,,,2005-10-18,,SLU,0.5,6.28,12,33.348
WA36456490,SE633316-146198,Norrhultsbäcken,Norrhultsbäcken,,,2006-10-19,,SLU,0.5,6.304,13,24.503
WA36456490,SE633316-146198,Norrhultsbäcken,Norrhultsbäcken,,,2009-10-15,,SLU,0.5,5.917,12,30.933
WA36456490,SE633316-146198,Norrhultsbäcken,Norrhultsbäcken,,,2010-10-21,,SLU,0.5,6.115,12,34.998
WA36456490,SE633316-146198,Norrhultsbäcken,Norrhultsbäcken,,,2011-10-19,,SLU,,6.333,13,31.929
WA36456490,SE633316-146198,Norrhultsbäcken,Norrhultsbäcken,,,2012-10-23,,SLU,,6.36,13,28.479
WA36456490,SE633316-146198,Norrhultsbäcken,Norrhultsbäcken,,,2013-10-17,,SLU,,6.364,13,37.106
WA36456490,SE633316-146198,Norrhultsbäcken,Norrhultsbäcken,,,2013-10-17,,SLU,,6.364,13,37.106
WA36456490,SE633316-146198,Norrhultsbäcken,Norrhultsbäcken,,,2014-10-14,,SLU,,6.304,13,30.114
WA36456490,SE633316-146198,Norrhultsbäcken,Norrhultsbäcken,,,2015-10-06,,SLU,0.5,6.292,12,37.033
WA36456490,SE633316-146198,Norrhultsbäcken,Norrhultsbäcken,,,2016-10-12,,SLU,0.12,6.556,13,39.855
WA36456490,SE633316-146198,Norrhultsbäcken,Norrhultsbäcken,,,2017-10-12,,SLU,0.25,6.111,11,25.558
WA36456490,SE633316-146198,Norrhultsbäcken,Norrhultsbäcken,,,2018-10-11,,SLU,0.18,6.087,11,25.682
WA95930698,SE718265-171875,Bjurbäcken,Bjurbäcken,,,2002-10-01,,SLU,0.5,7.1,13,30.706
WA95930698,SE718265-171875,Bjurbäcken,Bjurbäcken,,,2003-10-07,,SLU,0.5,7.308,14,26.413
WA95930698,SE718265-171875,Bjurbäcken,Bjurbäcken,,,2004-09-22,,SLU,0.5,7.125,14,19.228
WA95930698,SE718265-171875,Bjurbäcken,Bjurbäcken,,,2005-09-20,,SLU,0.5,7.071,15,30.075
WA95930698,SE718265-171875,Bjurbäcken,Bjurbäcken,,,2006-09-27,,SLU,0.5,6.5,14,22.231
WA95930698,SE718265-171875,Bjurbäcken,Bjurbäcken,,,2007-10-02,,SLU,0.5,6.963,15,20.684
WA95930698,SE718265-171875,Bjurbäcken,Bjurbäcken,,,2008-09-26,,SLU,0.5,6.818,14,16.529
WA95930698,SE718265-171875,Bjurbäcken,Bjurbäcken,,,2009-10-05,,SLU,0.5,7.238,15,18.929
WA95930698,SE718265-171875,Bjurbäcken,Bjurbäcken,,,2010-09-27,,SLU,0.5,7.2,14,10.601
WA95930698,SE718265-171875,Bjurbäcken,Bjurbäcken,,,2011-10-14,,SLU,,7.037,14,28.444
WA95930698,SE718265-171875,Bjurbäcken,Bjurbäcken,,,2012-10-29,,SLU,,5.875,13,3.419
WA95930698,SE718265-171875,Bjurbäcken,Bjurbäcken,,,2013-10-16,,SLU,,7,14,23.499
WA95930698,SE718265-171875,Bjurbäcken,Bjurbäcken,,,2014-10-20,,SLU,,7.192,14,30.058
WA95930698,SE718265-171875,Bjurbäcken,Bjurbäcken,,,2015-09-28,,SLU,0.28,7.269,14,22.914
WA95930698,SE718265-171875,Bjurbäcken,Bjurbäcken,,,2016-10-10,,SLU,0.13,7.25,13,24.054
WA95930698,SE718265-171875,Bjurbäcken,Bjurbäcken,,,2017-10-02,,SLU,0.25,6.963,14,24.043
WA60052782,SE739283-163835,Alep Uttjajåkkå,Alep Uttjajåkkå,,,2002-09-27,,SLU,0.5,6.857,13,29.517
WA60052782,SE739283-163835,Alep Uttjajåkkå,Alep Uttjajåkkå,,,2003-09-22,,SLU,0.5,7.13,15,38.359
WA60052782,SE739283-163835,Alep Uttjajåkkå,Alep Uttjajåkkå,,,2004-09-16,,SLU,0.5,6.889,15,26.579
WA60052782,SE739283-163835,Alep Uttjajåkkå,Alep Uttjajåkkå,,,2005-09-16,,SLU,0.5,6.889,15,22.474
WA60052782,SE739283-163835,Alep Uttjajåkkå,Alep Uttjajåkkå,,,2006-09-13,,SLU,0.5,6.895,15,20.108
WA60052782,SE739283-163835,Alep Uttjajåkkå,Alep Uttjajåkkå,,,2007-09-25,,SLU,0.5,6.421,15,26.293
WA60052782,SE739283-163835,Alep Uttjajåkkå,Alep Uttjajåkkå,,,2008-09-23,,SLU,0.5,6.895,14,20.825
WA60052782,SE739283-163835,Alep Uttjajåkkå,Alep Uttjajåkkå,,,2009-10-01,,SLU,0.5,6.857,15,29.103
WA60052782,SE739283-163835,Alep Uttjajåkkå,Alep Uttjajåkkå,,,2010-09-13,,SLU,0.5,7.043,15,22.955
WA60052782,SE739283-163835,Alep Uttjajåkkå,Alep Uttjajåkkå,,,2011-09-11,,SLU,,6.625,15,37.849
WA60052782,SE739283-163835,Alep Uttjajåkkå,Alep Uttjajåkkå,,,2012-09-12,,SLU,,6.565,15,34.273
WA60052782,SE739283-163835,Alep Uttjajåkkå,Alep Uttjajåkkå,,,2013-09-19,,SLU,,6.75,15,37.062
WA60052782,SE739283-163835,Alep Uttjajåkkå,Alep Uttjajåkkå,,,2014-09-17,,SLU,,7.053,14,52.247
